0,1,2,3,4
2012.08.01szerda,31,19,2.8,Napos
2012.08.02csütörtök,31,19,2.2,Napos
2012.08.03péntek,32,20,1.7,Részben felhõs
2012.08.04szombat,32,21,2.2,Napos
2012.08.05vasárnap,33,22,5,Napos
2012.08.06hétfő,34,19,5.8,Napos
2012.08.07kedd,27,17,7.5,Napos
2012.08.08szerda,28,15,5,Napos
2012.08.09csütörtök,27,15,3.9,Napos
2012.08.10péntek,25,13,5.3,Napos
2012.08.11szombat,22,12,6.1,Könnyû esõzuhany
2012.08.12vasárnap,23,11,3.1,Részben felhõs
2012.08.13hétfő,24,13,2.8,Hûvös esõ a közelben
2012.08.14kedd,24,13,6.1,Napos
2012.08.15szerda,25,13,4.4,Napos
2012.08.16csütörtök,29,16,2.5,Napos
2012.08.17péntek,29,16,2.5,Részben felhõs
2012.08.18szombat,30,17,1.7,Napos
2012.08.19vasárnap,32,20,1.7,Napos
2012.08.20hétfő,34,20,2.5,Napos
2012.08.21kedd,33,20,2.8,Felhõs
2012.08.22szerda,34,22,2.8,Napos
2012.08.23csütörtök,34,21,2.5,Napos
2012.08.24péntek,34,21,6.1,Napos
2012.08.25szombat,33,21,3.3,Napos
2012.08.26vasárnap,27,15,8.9,Napos
2012.08.27hétfő,23,11,7.5,Részben felhõs
2012.08.28kedd,28,13,2.8,Napos
2012.08.29szerda,29,16,1.4,Napos
2012.08.30csütörtök,30,17,2.2,Napos
2012.08.31péntek,29,18,4.7,Napos
2012.12.01szombat,5,1,3.3,Napos
2012.12.02vasárnap,2,-3,4.7,Könnyû hó
2012.12.03hétfő,1,-5,6.7,Napos
2012.12.04kedd,3,-2,5.6,Részben felhõs
2012.12.05szerda,1,-3,4.4,Részben felhõs
2012.12.06csütörtök,3,-4,6.1,Napos
2012.12.07péntek,-1,-6,4.7,Napos
2012.12.08szombat,-4,-5,7.2,Részben felhõs
2012.12.09vasárnap,-3,-7,6.7,Napos
2012.12.10hétfő,-2,-4,2.8,Felhõs
2012.12.11kedd,-1,-8,4.2,Felhõs
2012.12.12szerda,-3,-8,6.9,Részben felhõs
2012.12.13csütörtök,-3,-6,3.9,Napos
2012.12.14péntek,-3,-5,4.4,Felhõs
2012.12.15szombat,1,-1,5.6,Mérsékelt esõ
2012.12.16vasárnap,4,1,2.8,Köd
2012.12.17hétfő,2,-1,2.8,Könnyû szitálás
2012.12.18kedd,1,-1,2.5,Könnyû esõ
2012.12.19szerda,2,-3,3.1,Könnyû szitálás
2012.12.20csütörtök,3,-1,1.9,Részben felhõs
2012.12.21péntek,1,-2,1.7,Napos
2012.12.22szombat,2,-3,1.9,Napos
2012.12.23vasárnap,0,-3,3.3,Enyhe havazás
2012.12.24hétfő,2,0,3.1,Köd
2012.12.25kedd,4,2,5,Részben felhõs
2012.12.26szerda,5,1,3.6,Köd
2012.12.27csütörtök,4,-1,5,Köd
2012.12.28péntek,5,-2,4.7,Felhõs
2012.12.29szombat,2,-2,3.3,Napos
2012.12.30vasárnap,3,0,2.5,Napos
2012.12.31hétfő,4,-2,2.5,Napos
2012.06.01péntek,21,9,8.1,Részben felhõs
2012.06.02szombat,20,13,4.7,Részben felhõs
2012.06.03vasárnap,26,16,6.4,Napos
2012.06.04hétfő,25,13,5,Részben felhõs
2012.06.05kedd,19,7,9.2,Hûvös esõ a közelben
2012.06.06szerda,21,13,3.9,Napos
2012.06.07csütörtök,25,15,3.1,Napos
2012.06.08péntek,26,17,3.6,Részben felhõs
2012.06.09szombat,27,17,3.3,Napos
2012.06.10vasárnap,24,15,5.6,Mérsékelt vagy heves esõzuhany
2012.06.11hétfő,23,14,4.2,Könnyû esõzuhany
2012.06.12kedd,24,12,5.3,Hûvös esõ a közelben
2012.06.13szerda,20,10,5.6,Részben felhõs
2012.06.14csütörtök,22,12,5.3,Napos
2012.06.15péntek,25,14,2.2,Hûvös esõ a közelben
2012.06.16szombat,29,16,3.1,Napos
2012.06.17vasárnap,32,20,2.2,Napos
2012.06.18hétfő,32,18,3.3,Napos
2012.06.19kedd,32,19,3.1,Napos
2012.06.20szerda,31,19,4.2,Napos
2012.06.21csütörtök,32,21,2.8,Napos
2012.06.22péntek,28,17,6.1,Napos
2012.06.23szombat,29,16,2.8,Napos
2012.06.24vasárnap,30,16,2.2,Napos
2012.06.25hétfő,24,12,5.6,Könnyû szitálás
2012.06.26kedd,22,12,6.1,Részben felhõs
2012.06.27szerda,23,14,5.3,Napos
2012.06.28csütörtök,27,16,4.2,Hûvös esõ a közelben
2012.06.29péntek,30,19,2.2,Részben felhõs
2012.06.30szombat,33,21,2.8,Napos
2012.05.01kedd,28,16,3.1,Részben felhõs
2012.05.02szerda,29,16,3.3,Napos
2012.05.03csütörtök,28,14,3.9,Könnyû esõ a mennydörgésnek
2012.05.04péntek,22,11,5,Hûvös esõ a közelben
2012.05.05szombat,23,11,5.6,Napos
2012.05.06vasárnap,22,12,6.1,Napos
2012.05.07hétfő,15,8,4.2,Mérsékelt esõ
2012.05.08kedd,24,9,2.5,Napos
2012.05.09szerda,25,11,1.9,Napos
2012.05.10csütörtök,27,14,1.1,Napos
2012.05.11péntek,30,13,1.9,Napos
2012.05.12szombat,27,9,7.2,Napos
2012.05.13vasárnap,15,6,4.7,Részben felhõs
2012.05.14hétfő,14,7,6.7,Részben felhõs
2012.05.15kedd,15,7,2.5,Könnyû esõ
2012.05.16szerda,18,6,8.1,Részben felhõs
2012.05.17csütörtök,16,4,7.5,Napos
2012.05.18péntek,19,6,2.2,Napos
2012.05.19szombat,25,10,1.9,Napos
2012.05.20vasárnap,25,13,2.8,Napos
2012.05.21hétfő,25,15,5.8,Napos
2012.05.22kedd,22,14,3.9,"Hûvös, könnyû szitálás"
2012.05.23szerda,25,14,4.7,Könnyû esõ a mennydörgésnek
2012.05.24csütörtök,25,13,5.6,Hûvös esõ a közelben
2012.05.25péntek,21,11,6.7,Napos
2012.05.26szombat,21,9,4.7,Napos
2012.05.27vasárnap,21,9,3.6,Napos
2012.05.28hétfő,21,11,3.6,Könnyû esõ a mennydörgésnek
2012.05.29kedd,23,12,3.1,Részben felhõs
2012.05.30szerda,23,11,6.4,Napos
2012.05.31csütörtök,24,14,3.9,Részben felhõs
2012.01.01vasárnap,3,-1,2.8,Felhõs
2012.01.02hétfő,4,0,4.4,Napos
2012.01.03kedd,6,1,3.9,Részben felhõs
2012.01.04szerda,6,1,5.8,Felhõs
2012.01.05csütörtök,4,0,10,"Hûvös, könnyû szitálás"
2012.01.06péntek,5,0,12.2,Részben felhõs
2012.01.07szombat,4,-1,7.8,Részben felhõs
2012.01.08vasárnap,4,0,4.4,Felhõs
2012.01.09hétfő,4,-1,4.7,Napos
2012.01.10kedd,3,-1,4.2,Könnyû szitálás
2012.01.11szerda,3,-1,4.4,Napos
2012.01.12csütörtök,6,1,5,Napos
2012.01.13péntek,5,1,10.6,Részben felhõs
2012.01.14szombat,2,-1,10.3,Felhõs
2012.01.15vasárnap,2,-3,9.4,Részben felhõs
2012.01.16hétfő,1,-3,3.3,Napos
2012.01.17kedd,0,-5,3.6,Enyhe havazás
2012.01.18szerda,1,-2,2.5,Felhõs
2012.01.19csütörtök,2,-2,7.2,"Hûvös, könnyû szitálás"
2012.01.20péntek,3,-1,8.9,Könnyû esõ
2012.01.21szombat,2,-2,6.4,Napos
2012.01.22vasárnap,4,1,8.9,Napos
2012.01.23hétfő,6,1,9.7,Napos
2012.01.24kedd,4,1,3.9,Felhõs
2012.01.25szerda,2,-2,6.4,Napos
2012.01.26csütörtök,1,-3,4.7,Napos
2012.01.27péntek,1,-4,2.2,Napos
2012.01.28szombat,-1,-5,2.5,Napos
2012.01.29vasárnap,-1,-5,3.6,Napos
2012.01.30hétfő,-3,-6,5.3,Napos
2012.01.31kedd,-4,-9,4.7,Napos
2012.03.01csütörtök,10,1,2.5,Részben felhõs
2012.03.02péntek,12,5,5.8,Napos
2012.03.03szombat,11,1,3.9,Napos
2012.03.04vasárnap,7,0,2.5,Részben felhõs
2012.03.05hétfő,6,-1,2.8,Napos
2012.03.06kedd,6,-2,5,Napos
2012.03.07szerda,5,-2,2.8,Napos
2012.03.08csütörtök,4,-3,2.8,Felhõs
2012.03.09péntek,8,-1,1.9,Napos
2012.03.10szombat,9,1,2.2,Napos
2012.03.11vasárnap,10,1,10.3,Felhõs
2012.03.12hétfő,9,0,4.7,Részben felhõs
2012.03.13kedd,12,3,4.2,Napos
2012.03.14szerda,12,3,5.3,Részben felhõs
2012.03.15csütörtök,13,6,3.9,Napos
2012.03.16péntek,16,5,3.6,Napos
2012.03.17szombat,17,7,4.4,Napos
2012.03.18vasárnap,18,7,7.2,Napos
2012.03.19hétfő,15,4,6.7,Napos
2012.03.20kedd,15,6,3.3,Napos
2012.03.21szerda,17,7,3.1,Napos
2012.03.22csütörtök,20,8,2.2,Napos
2012.03.23péntek,19,8,1.9,Napos
2012.03.24szombat,20,8,1.9,Napos
2012.03.25vasárnap,19,8,6.1,Napos
2012.03.26hétfő,15,4,3.6,Napos
2012.03.27kedd,15,6,6.1,Napos
2012.03.28szerda,18,8,4.7,Napos
2012.03.29csütörtök,15,5,10.8,Részben felhõs
2012.03.30péntek,13,6,10,Napos
2012.03.31szombat,13,1,11.4,Részben felhõs
2012.11.01csütörtök,8,5,6.1,Könnyû szitálás
2012.11.02péntek,13,5,3.3,Könnyû esõ
2012.11.03szombat,14,9,4.2,Részben felhõs
2012.11.04vasárnap,17,12,5.8,Részben felhõs
2012.11.05hétfő,14,5,6.4,Könnyû esõ
2012.11.06kedd,11,3,6.7,Felhõs
2012.11.07szerda,9,5,7.5,Részben felhõs
2012.11.08csütörtök,12,6,4.2,Napos
2012.11.09péntek,11,4,5.6,Napos
2012.11.10szombat,10,5,5,Napos
2012.11.11vasárnap,11,7,4.7,Napos
